,Area,Children,Age,Income,Marital,Gender,Churn,Outage_sec_perweek,Yearly_equip_failure,Tenure,MonthlyCharge,Bandwidth_GB_Year,Area_cat,Marital_cat,Gender_cat,Churn_cat
2429,Rural,1,25,21196.66,Widowed,Female,Yes,9.520453,1,20.5514,179.9476,2023.901526,0,4,0,1
2430,Rural,7,61,41959.76,Separated,Female,Yes,11.16575,0,1.704751,172.4567,964.1421939,0,3,0,1
2431,Urban,2,28,29743.38,Married,Female,No,14.77223,0,11.13625,139.9875,1606.733876,2,1,0,0
2432,Urban,1,76,62190.11,Separated,Male,No,12.13147,0,5.802984,159.9794,1163.473611,2,3,1,0
2433,Rural,1,34,27766.98,Married,Male,Yes,6.35624,1,7.948145,164.9647,1559.056164,0,1,1,1
2434,Urban,1,23,30756.71,Never Married,Male,No,11.07762,1,12.0068,157.4836,1338.084542,2,2,1,0
2435,Suburban,1,24,55663.41,Never Married,Female,Yes,9.871425,0,20.22191,200.1185,2643.645671,1,2,0,1
2436,Suburban,3,54,79846.9,Married,Male,Yes,9.358906,0,1.932155,182.4538,552.2795704,1,1,1,1
2437,Rural,2,69,27643.15,Married,Female,Yes,13.13329,0,19.93923,242.6573,2336.999053,0,1,0,1
2438,Suburban,2,80,44078.45,Married,Female,Yes,8.546853,0,5.620998,139.965,1077.685443,1,1,0,1
2439,Urban,2,30,64027.82,Married,Female,Yes,8.71185,0,6.446079,169.9447,918.6663119,2,1,0,1
2440,Urban,4,54,8996.2,Never Married,Male,No,9.355553,0,7.633753,184.9785,1227.405249,2,2,1,0
2441,Urban,1,35,19510.49,Married,Female,Yes,11.4017,0,6.582225,149.9776,886.9671382,2,1,0,1
2442,Suburban,7,26,43467.62,Separated,Male,Yes,10.48505,0,2.420905,222.6281,1585.087297,1,3,1,1
2443,Urban,0,19,59419.82,Divorced,Female,Yes,13.83841,1,2.608423,222.6326,1328.874126,2,0,0,1
2444,Suburban,1,73,35143.78,Separated,Male,Yes,10.43682,0,9.248419,242.6106,1792.520072,1,3,1,1
2445,Rural,1,29,50968.3,Never Married,Female,No,10.39103,0,1.652127,179.9476,462.2211376,0,2,0,0
2446,Rural,0,57,35587.78,Separated,Male,Yes,13.52535,0,2.077466,235.1372,1244.139414,0,3,1,1
2447,Urban,3,82,46121.72,Never Married,Male,Yes,10.10656,0,19.06753,262.6106,2215.644479,2,2,1,1
2448,Suburban,9,32,108839.1,Divorced,Female,No,9.945653,0,2.12851,117.4872,1009.028786,1,0,0,0
2449,Rural,1,71,18975.18,Separated,Female,No,12.36189,0,13.46686,204.9797,1382.061516,0,3,0,0
2450,Urban,6,22,53008.8,Separated,Female,No,9.31867,1,1.805094,92.5018,505.1435902,2,3,0,0
2451,Urban,4,26,76411.65,Widowed,Female,Yes,9.649624,0,5.886238,212.6695,1391.330245,2,4,0,1
2452,Urban,1,76,21542.79,Widowed,Male,Yes,6.551988,1,4.336113,139.9349,1046.765683,2,4,1,1
2453,Urban,2,28,24072.56,Separated,Female,No,8.991756,0,5.395611,230.1051,1122.653549,2,3,0,0
2454,Suburban,1,24,54215.89,Married,Nonbinary,Yes,13.0395,0,2.930277,242.6143,868.2420268,1,1,2,1
2455,Suburban,3,55,45830.71,Separated,Male,No,11.341,0,5.23657,162.497,1322.686843,1,3,1,0
2456,Rural,3,79,20415.05,Widowed,Female,Yes,11.15686,0,1.293544,129.9483,712.4768186,0,4,0,1
2457,Urban,1,76,28911.98,Never Married,Male,Yes,14.29507,0,1.76478,139.965,826.331106,2,2,1,1
2458,Rural,0,55,32193.76,Separated,Female,Yes,3.464197,0,15.4459,182.4433,1983.907992,0,3,0,1
2459,Urban,3,73,22663.77,Married,Female,No,14.68158,0,16.56317,127.4601,1881.485804,2,1,0,0
2460,Rural,3,79,43925.68,Divorced,Female,Yes,10.67296,0,8.939477,154.9755,1588.984136,0,0,0,1
2461,Rural,2,78,18521.02,Separated,Male,No,11.91227,0,5.9717,152.4579,1290.155524,0,3,1,0
2462,Urban,0,23,68335.57,Widowed,Female,No,9.589426,0,26.15019,134.9509,2320.785912,2,4,0,0
2463,Urban,6,49,48414.97,Never Married,Male,No,12.9317,0,17.84058,140.0013,2373.467756,2,2,1,0
2464,Urban,0,32,16170.08,Never Married,Female,No,7.935518,1,11.49687,112.4844,1068.577042,2,2,0,0
2465,Suburban,0,41,58940.98,Widowed,Female,Yes,9.320977,1,3.761061,197.4702,1151.905186,1,4,0,1
2466,Suburban,2,30,19498.34,Widowed,Male,No,16.12913,1,16.39747,129.9621,2207.805016,1,4,1,0
2467,Rural,1,37,69988.77,Never Married,Female,No,13.15586,2,11.61284,197.4702,1839.162665,0,2,0,0
2468,Urban,1,72,37908.68,Never Married,Female,Yes,6.985784,2,19.12428,187.6094,2392.010213,2,2,0,1
2469,Suburban,2,55,21594.91,Married,Male,Yes,11.18568,1,13.85176,192.4404,1584.550026,1,1,1,1
2470,Suburban,1,56,31529.9,Separated,Female,No,8.554768,0,18.8572,137.4684,1819.57724,1,3,0,0
2471,Rural,4,43,35706.95,Separated,Male,No,14.26456,1,10.08697,139.9512,1627.959422,0,3,1,0
2472,Suburban,3,57,25408.07,Married,Male,Yes,15.88055,0,1.895979,152.5022,716.6438092,1,1,1,1
2473,Rural,4,74,29602.2,Married,Male,Yes,12.79546,0,2.446064,194.9525,1066.183659,0,1,1,1
2474,Rural,4,83,37471.31,Widowed,Male,Yes,9.731762,0,2.464275,174.9768,1030.224777,0,4,1,1
2475,Rural,1,43,5923.37,Divorced,Male,Yes,15.21575,0,14.80349,192.4705,1661.346466,0,0,1,1
2476,Urban,0,52,30227.9,Divorced,Female,Yes,9.63933,2,8.040278,182.49,1058.595152,2,0,0,1
2477,Rural,0,54,108135.1,Married,Female,No,9.164653,0,6.453124,149.9621,792.1819969,0,1,0,0
2478,Rural,1,74,75295.21,Separated,Female,Yes,12.49263,0,20.13722,217.484,2083.650225,0,3,0,1
2479,Suburban,0,46,64898.06,Separated,Female,Yes,9.779093,0,4.355677,242.6281,1002.004764,1,3,0,1
2480,Rural,1,28,78472.21,Never Married,Nonbinary,Yes,14.54789,1,16.04377,132.466,2062.862632,0,2,2,1
2481,Suburban,3,43,31294.84,Separated,Female,No,13.01594,1,7.42363,147.4713,950.7941169,1,3,0,0
2482,Suburban,4,20,33348.43,Separated,Nonbinary,No,11.04209,1,20.87424,117.4392,2497.717707,1,3,2,0
2483,Urban,1,64,53517.12,Married,Male,No,7.405469,0,14.44636,202.4433,1572.076515,2,1,1,0
2484,Urban,4,87,58015.78,Never Married,Male,No,10.66838,0,9.000396,140.0013,1462.964796,2,2,1,0
2485,Suburban,0,32,90699.09,Separated,Male,No,12.3917,0,7.194779,162.4676,1457.580613,1,3,1,0
2486,Rural,1,84,76925.67,Never Married,Male,Yes,9.380891,1,2.919931,142.4713,899.976724,0,2,1,1
2487,Urban,0,88,27140.05,Married,Female,Yes,16.19038,0,12.86551,255.1198,1966.201755,2,1,0,1
2488,Rural,8,18,104480.4,Married,Female,No,18.44059,1,18.8098,275.1336,2596.374524,0,1,0,0
2489,Rural,1,59,81491.12,Widowed,Male,Yes,8.669476,0,15.92001,200.1185,2223.458561,0,4,1,1
2490,Urban,4,29,33192.8,Widowed,Female,Yes,9.237382,0,4.85088,200.1652,1131.789188,2,4,0,1
2491,Suburban,1,50,40719.95,Widowed,Female,Yes,10.91998,0,4.847411,147.4738,602.6894614,1,4,0,1
2492,Suburban,3,29,42866.35,Widowed,Female,Yes,10.99018,0,2.758575,232.6415,929.5655793,1,4,0,1
2493,Suburban,0,40,35939.16,Never Married,Male,No,7.095061,0,6.116652,127.4601,1123.647592,1,2,1,0
2494,Suburban,0,46,14709.22,Never Married,Female,Yes,9.490979,0,1.757261,194.9581,589.6405069,1,2,0,1
2495,Rural,0,54,101534.0,Married,Female,Yes,6.548344,1,16.87028,210.1051,2329.543371,0,1,0,1
2496,Suburban,2,48,28100.13,Divorced,Male,No,7.891279,0,16.66123,179.9476,1742.811202,1,0,1,0
2497,Suburban,5,62,55888.81,Separated,Female,No,10.58295,0,12.61471,154.9755,2007.430866,1,3,0,0
2498,Suburban,2,85,24604.91,Widowed,Male,No,7.787876,0,5.714937,182.447,750.9484926,1,4,1,0
2499,Rural,3,81,8137.46,Divorced,Female,Yes,13.14319,0,2.301772,222.6281,1224.80823,0,0,0,1
2500,Rural,1,60,36643.74,Married,Female,No,13.36184,1,3.627104,137.4686,459.9710645,0,1,0,0
2501,Rural,0,56,24503.85,Widowed,Female,No,6.478653,0,12.00909,152.5104,1610.027119,0,4,0,0
2502,Urban,1,19,7332.51,Widowed,Female,No,14.06909,0,24.14282,162.4713,2391.497324,2,4,0,0
2503,Suburban,2,75,14741.19,Never Married,Female,No,7.832718,1,19.14656,169.9447,1811.777309,1,2,0,0
2504,Rural,4,82,51673.68,Never Married,Female,No,9.183616,1,22.14611,162.4713,2113.691713,0,2,0,0
2505,Suburban,7,66,29958.36,Separated,Female,No,13.88216,0,5.585004,162.4827,936.2693881,1,3,0,0
2506,Suburban,1,36,33929.5,Never Married,Male,No,10.63565,0,8.940085,182.4676,1204.76304,1,2,1,0
2507,Urban,1,26,5782.82,Divorced,Male,No,11.35287,1,17.82124,119.9568,2296.853164,2,0,1,0
2508,Rural,1,77,62989.06,Married,Female,No,2.094319,0,27.4563,162.447,2859.041314,0,1,0,0
2509,Urban,0,19,47245.51,Never Married,Male,No,10.42305,0,8.522053,182.4833,1123.252119,2,2,1,0
2510,Urban,1,43,35261.47,Divorced,Female,No,9.83124,0,8.386909,147.4601,834.8359967,2,0,0,0
2511,Urban,0,31,53116.06,Widowed,Male,Yes,8.183544,0,10.52249,159.9349,1256.923905,2,4,1,1
2512,Urban,1,27,32014.25,Married,Female,Yes,4.649681,0,9.836216,164.967,1700.500703,2,1,0,1
2513,Suburban,4,40,18846.03,Widowed,Female,Yes,9.447787,0,10.85169,194.9663,1864.932987,1,4,0,1
2514,Rural,2,36,26639.43,Never Married,Female,Yes,8.834633,0,8.973181,240.1149,1367.523632,0,2,0,1
2515,Rural,3,64,17126.28,Widowed,Male,No,12.70547,0,14.04801,160.0013,1507.684892,0,4,1,0
2516,Urban,0,80,31155.68,Never Married,Female,Yes,7.499758,0,14.17599,242.6326,1663.204506,2,2,0,1
2517,Urban,0,41,17089.71,Married,Female,Yes,4.280086,0,8.619877,200.1323,1687.301468,2,1,0,1
2518,Urban,1,32,67354.4,Married,Male,Yes,6.965079,1,17.91527,149.9447,2281.632997,2,1,1,1
2519,Rural,1,18,43415.81,Married,Male,No,11.16639,1,8.113307,149.9776,1115.211468,0,1,1,0
2520,Rural,8,23,31697.79,Separated,Male,Yes,13.54662,2,12.52502,207.4754,2267.526558,0,3,1,1
2521,Urban,0,57,57549.87,Widowed,Male,No,10.34504,0,9.303687,172.4705,1547.513225,2,4,1,0
2522,Urban,0,76,14876.32,Separated,Female,Yes,8.80007,0,3.840589,159.9656,808.7858345,2,3,0,1
2523,Urban,2,80,16419.87,Married,Male,Yes,13.25797,0,5.142628,232.6707,1045.919275,2,1,1,1
2524,Urban,0,47,21028.18,Divorced,Female,Yes,14.10578,1,2.067128,255.1555,864.371328,2,0,0,1
2525,Urban,0,22,901.21,Divorced,Female,No,12.38127,1,18.96848,179.9656,1811.884356,2,0,0,0
2526,Rural,0,74,71373.4,Separated,Female,Yes,12.51035,0,2.589165,252.624,662.5967184,0,3,0,1
2527,Urban,0,30,90664.75,Married,Female,No,11.05354,0,2.362663,112.4551,254.7465501,2,1,0,0
2528,Rural,1,33,23553.75,Widowed,Male,No,8.263688,0,5.585807,184.9785,1036.098256,0,4,1,0
2529,Urban,3,67,25340.62,Widowed,Female,Yes,7.603034,2,16.81789,142.4689,2062.922234,2,4,0,1
2530,Urban,1,70,38566.88,Never Married,Female,Yes,7.062036,0,18.529,255.1336,2600.878739,2,2,0,1
2531,Rural,4,84,55179.21,Widowed,Nonbinary,Yes,6.529096,0,14.39213,190.1737,1765.073078,0,4,2,1
2532,Suburban,6,39,39328.19,Widowed,Male,Yes,12.72846,1,8.457034,220.1323,1498.783318,1,4,1,1
2533,Suburban,2,53,27800.88,Married,Female,No,13.85374,2,9.24589,79.97886,804.9040342,1,1,0,0
2534,Urban,8,74,20773.28,Never Married,Female,Yes,8.067406,1,1.413033,162.447,950.4411542,2,2,0,1
2535,Suburban,4,73,62362.09,Never Married,Male,Yes,8.889321,2,3.680185,137.4392,587.7258611,1,2,1,1
2536,Urban,0,42,34835.04,Widowed,Female,No,7.255194,0,16.82081,147.4421,1559.752741,2,4,0,0
2537,Urban,2,64,23000.55,Widowed,Male,Yes,5.6162,2,1.025579,184.9853,570.4516207,2,4,1,1
2538,Rural,0,55,13683.98,Divorced,Female,No,9.842896,0,15.02441,104.9629,1406.070492,0,0,0,0
2539,Rural,1,48,20236.81,Married,Male,No,12.15458,0,2.440244,179.9656,485.4228279,0,1,1,0
2540,Urban,0,24,40019.17,Never Married,Female,No,8.978709,0,7.409027,127.4738,1280.53691,2,2,0,0
2541,Rural,2,62,28664.45,Separated,Male,Yes,5.071108,0,3.148665,149.9378,1025.253482,0,3,1,1
2542,Urban,0,74,22793.73,Divorced,Male,No,11.98305,1,29.62966,207.4811,2913.842578,2,0,1,0
2543,Rural,0,54,20985.69,Separated,Male,Yes,8.552086,0,4.044209,245.132,991.6890153,0,3,1,1
2544,Suburban,0,62,10072.69,Widowed,Male,No,12.96774,0,22.73656,182.497,2227.799509,1,4,1,0
2545,Rural,2,62,20613.16,Married,Female,Yes,6.252401,0,2.917886,132.466,945.7273128,0,1,0,1
2546,Rural,2,18,56002.38,Widowed,Male,No,5.707982,0,13.08213,172.4579,1655.992508,0,4,1,0
2547,Urban,2,42,24372.17,Widowed,Male,Yes,8.613955,0,1.740144,242.6573,981.3822842,2,4,1,1
2548,Rural,1,67,59010.69,Married,Male,Yes,12.67157,0,9.470798,242.6326,1398.131991,0,1,1,1
2549,Rural,1,51,46199.89,Separated,Female,No,10.45992,1,2.476217,147.4783,373.1383878,0,3,0,0
2550,Suburban,3,23,17306.82,Widowed,Female,No,6.847776,0,9.05316,172.4733,1284.333326,1,4,0,0
2551,Suburban,1,52,8257.65,Separated,Female,No,13.93304,1,10.86199,155.0084,1364.293464,1,3,0,0
2552,Rural,1,63,45016.56,Married,Male,Yes,10.94745,0,7.990345,222.6143,1654.594921,0,1,1,1
2553,Urban,0,61,50375.2,Never Married,Male,Yes,11.40109,0,1.500126,232.6415,676.2344842,2,2,1,1
2554,Suburban,2,88,111592.0,Never Married,Male,Yes,9.241887,0,6.732509,202.6829,1153.214047,1,2,1,1
2555,Suburban,0,54,37928.26,Separated,Male,Yes,6.726035,0,1.442102,222.6792,837.2614393,1,3,1,1
2556,Urban,4,27,40826.44,Separated,Female,No,7.683895,1,10.89683,147.4421,1246.67277,2,3,0,0
2557,Rural,0,49,25770.44,Divorced,Female,No,10.45012,1,10.69505,137.4698,1364.959051,0,0,0,0
2558,Urban,3,46,49535.29,Married,Female,Yes,13.56355,0,6.905862,199.9902,1606.823213,2,1,0,1
2559,Urban,4,35,14113.73,Divorced,Female,No,10.59909,0,22.31932,152.4952,2343.988024,2,0,0,0
2560,Suburban,0,58,63348.18,Never Married,Female,Yes,7.353978,0,4.984918,172.4705,1108.077901,1,2,0,1
2561,Suburban,0,30,17104.77,Widowed,Male,Yes,8.738173,0,10.45497,139.9861,1307.834074,1,4,1,1
2562,Urban,3,67,23481.88,Divorced,Female,No,6.923674,0,18.81683,184.9647,1907.20649,2,0,0,0
2563,Urban,0,35,20613.38,Married,Female,No,10.66687,0,18.01018,167.4564,1686.417922,2,1,0,0
2564,Urban,1,79,142650.5,Never Married,Male,Yes,2.820841,0,5.014012,245.1283,1501.093332,2,2,1,1
2565,Urban,1,87,17100.24,Married,Female,No,9.040639,0,9.817033,127.4887,954.2700173,2,1,0,0
2566,Suburban,1,55,31492.57,Widowed,Female,Yes,6.754503,0,7.437784,230.1051,1170.676993,1,4,0,1
2567,Rural,1,54,12652.67,Married,Male,No,8.249498,0,1.280324,139.9568,436.2297665,0,1,1,0
2568,Suburban,4,72,19685.04,Separated,Male,Yes,15.8001,0,13.43811,174.9768,1965.462483,1,3,1,1
2569,Suburban,4,81,65315.4,Widowed,Female,No,9.956429,0,3.765838,137.4686,494.8412692,1,4,0,0
2570,Rural,0,63,42613.78,Divorced,Female,No,11.10537,0,12.50419,162.4833,1636.48816,0,0,0,0
2571,Rural,0,28,8414.55,Divorced,Male,No,18.77915,1,1.798433,179.9476,528.989098,0,0,1,0
2572,Urban,0,18,4397.39,Never Married,Female,No,11.2971,1,7.35817,182.447,961.4048126,2,2,0,0
2573,Urban,0,73,27105.8,Married,Female,Yes,7.526996,1,7.744129,167.4564,720.6519058,2,1,0,1
2574,Urban,4,76,20552.64,Divorced,Male,No,11.71667,0,16.79677,139.9792,1820.926895,2,0,1,0
2575,Rural,3,20,12188.82,Divorced,Nonbinary,No,8.063233,1,1.311693,152.466,530.0519539,0,0,2,0
2576,Suburban,4,61,24625.37,Separated,Male,Yes,10.06942,1,6.960522,162.4676,1466.444336,1,3,1,1
2577,Suburban,3,61,7418.73,Never Married,Female,Yes,8.417611,0,5.525134,277.6513,1288.15613,1,2,0,1
2578,Rural,6,85,25696.67,Widowed,Male,Yes,7.655763,1,10.29048,194.9663,1815.26546,0,4,1,1
2579,Suburban,1,48,26594.83,Never Married,Female,No,8.578558,0,18.32904,162.447,2206.253895,1,2,0,0
2580,Urban,2,82,24431.39,Married,Male,Yes,9.044468,0,1.794202,174.9768,917.029715,2,1,1,1
2581,Rural,0,24,67833.88,Separated,Female,No,10.84353,0,16.38978,142.5007,2095.926619,0,3,0,0
2582,Rural,4,59,39258.2,Separated,Female,No,12.23081,0,22.34478,194.9744,2231.25397,0,3,0,0
2583,Urban,0,55,51872.86,Separated,Male,Yes,10.35484,0,12.91538,217.4702,1524.881001,2,3,1,1
2584,Urban,0,54,41212.98,Married,Male,Yes,11.74908,0,11.59627,202.6362,1929.992785,2,1,1,1
2585,Suburban,4,82,38585.6,Married,Male,No,12.38931,0,15.2121,167.4564,1508.478673,1,1,1,0
2586,Rural,10,42,20896.26,Never Married,Male,Yes,8.884262,0,3.771607,207.4974,1117.284921,0,2,1,1
2587,Urban,0,41,60239.95,Never Married,Male,No,6.304689,0,11.64744,162.4827,1381.77131,2,2,1,0
2588,Urban,1,34,47017.43,Divorced,Male,No,12.82818,0,25.72493,124.9781,2354.102724,2,0,1,0
2589,Rural,1,34,11250.31,Divorced,Female,Yes,10.42511,0,1.393262,240.1149,722.2139832,0,0,0,1
2590,Suburban,0,81,70435.61,Divorced,Male,Yes,12.17307,0,12.173,149.9447,1619.686288,1,0,1,1
2591,Urban,2,53,12861.54,Married,Female,No,9.308406,1,8.909806,139.9875,1342.337702,2,1,0,0
2592,Suburban,2,88,40879.22,Separated,Male,No,10.82274,0,10.48608,112.4551,874.0562063,1,3,1,0
2593,Urban,4,23,44462.77,Divorced,Female,No,13.03399,0,19.26465,104.9643,2203.565459,2,0,0,0
2594,Suburban,1,67,31614.26,Widowed,Male,Yes,14.64439,1,6.24751,175.1331,986.8685971,1,4,1,1
2595,Urban,1,21,40895.64,Separated,Male,No,11.06501,0,9.063713,92.5018,1031.540479,2,3,1,0
2596,Urban,0,68,20306.89,Never Married,Male,Yes,9.811647,0,10.02603,162.4937,1183.503581,2,2,1,1
2597,Rural,0,44,61478.9,Divorced,Male,Yes,13.91858,1,28.22989,139.965,3068.956506,0,0,1,1
2598,Suburban,1,47,81376.2,Separated,Male,No,9.650519,2,7.617535,159.9656,1326.411799,1,3,1,0
2599,Rural,6,58,46435.57,Divorced,Female,No,13.58247,0,20.58561,140.0049,2005.474189,0,0,0,0
2600,Rural,5,75,40402.71,Married,Male,No,6.136428,0,12.359,159.9794,1827.076857,0,1,1,0
2601,Rural,0,26,11476.29,Widowed,Male,No,9.656318,0,8.437873,82.49655,923.1400229,0,4,1,0
2602,Suburban,2,30,9336.09,Married,Female,Yes,14.27424,0,14.01692,207.4754,2099.82555,1,1,0,1
2603,Urban,2,53,28954.2,Never Married,Female,No,7.942358,1,1.506136,159.9349,460.5286853,2,2,0,0
2604,Rural,0,29,32952.41,Separated,Male,Yes,9.749545,0,5.457127,202.65,1589.753327,0,3,1,1
2605,Urban,0,88,71113.67,Never Married,Female,No,11.26128,0,4.148103,124.9781,296.0266799,2,2,0,0
2606,Urban,0,42,46183.09,Separated,Female,Yes,8.650145,0,8.867664,252.6378,1362.782508,2,3,0,1
2607,Rural,0,51,90253.73,Never Married,Male,Yes,10.96431,0,6.663036,162.447,1292.032339,0,2,1,1
2608,Rural,4,68,57292.08,Widowed,Female,No,9.906298,0,1.563383,124.9607,673.250968,0,4,0,0
2609,Suburban,2,46,42550.92,Divorced,Male,Yes,9.513517,1,13.75426,277.6375,1947.058707,1,0,1,1
2610,Suburban,0,89,38411.45,Married,Male,Yes,8.846501,0,2.367066,232.6378,1136.589804,1,1,1,1
2611,Suburban,1,30,51136.82,Never Married,Male,No,4.791388,0,2.333094,140.0049,530.0667964,1,2,1,0
2612,Suburban,0,56,17595.76,Never Married,Male,No,5.549034,1,14.86158,159.9512,1439.925812,1,2,1,0
2613,Rural,0,31,31609.92,Widowed,Female,Yes,8.776267,1,1.768753,220.1478,736.3553892,0,4,0,1
2614,Urban,2,81,61843.65,Widowed,Male,Yes,7.89302,2,18.25291,182.4762,1863.348549,2,4,1,1
2615,Suburban,4,48,5952.44,Divorced,Male,No,8.355446,0,1.275948,107.5286,476.7850753,1,0,1,0
2616,Suburban,1,41,54507.42,Divorced,Female,Yes,6.322552,0,29.95876,255.1417,3119.385384,1,0,0,1
2617,Urban,4,87,62656.2,Widowed,Female,No,9.916894,0,2.073632,129.9621,861.7738077,2,4,0,0
2618,Rural,2,61,41577.62,Never Married,Female,No,10.1125,0,10.49402,139.9349,1584.241573,0,2,0,0
2619,Suburban,8,76,27520.03,Never Married,Male,Yes,10.02298,0,6.368504,202.65,1756.610979,1,2,1,1
2620,Rural,2,82,24128.19,Widowed,Female,Yes,10.53533,0,7.674186,162.4937,924.1809843,0,4,0,1
2621,Urban,1,65,40835.59,Married,Female,No,8.848665,0,16.75789,172.4705,2080.564441,2,1,0,0
2622,Suburban,3,40,21334.55,Widowed,Male,No,8.568261,0,8.473966,162.4982,1208.504726,1,4,1,0
2623,Suburban,2,33,27065.94,Married,Male,No,10.79675,0,30.82191,162.5005,3042.656083,1,1,1,0
2624,Rural,5,55,47950.33,Divorced,Female,Yes,11.70586,1,7.8432,147.4421,935.4475784,0,0,0,1
2625,Suburban,0,29,36470.53,Widowed,Female,No,4.254491,1,8.03514,114.9728,798.0189824,1,4,0,0
2626,Suburban,1,82,36598.52,Never Married,Male,Yes,10.76274,1,5.150963,165.0182,822.9997439,1,2,1,1
2627,Rural,3,56,20980.42,Never Married,Female,Yes,9.720452,1,24.2732,275.1336,2765.521967,0,2,0,1
2628,Suburban,3,76,6315.61,Married,Female,No,7.590769,1,9.38517,255.1555,1461.269401,1,1,0,0
2629,Rural,4,80,6074.44,Separated,Female,Yes,10.997,1,13.81972,162.4713,1438.002278,0,3,0,1
2630,Suburban,2,74,36966.64,Divorced,Male,Yes,8.401275,0,1.37258,187.656,680.4074741,1,0,1,1
2631,Rural,4,18,18377.18,Married,Female,No,13.42037,0,1.84687,137.4872,464.4350832,0,1,0,0
2632,Urban,4,63,128114.3,Widowed,Female,Yes,9.466427,0,12.23147,217.4702,1483.466725,2,4,0,1
2633,Suburban,0,30,21200.76,Separated,Male,No,13.4046,1,6.554584,127.5112,831.986868,1,3,1,0
2634,Rural,0,23,47958.56,Divorced,Female,Yes,10.47559,0,2.599617,149.9913,650.0225046,0,0,0,1
2635,Urban,0,81,30462.45,Married,Male,Yes,10.7882,0,2.827378,164.967,965.4344564,2,1,1,1
2636,Rural,2,76,20382.46,Separated,Male,Yes,9.545723,0,16.12971,197.484,2275.291432,0,3,1,1
2637,Rural,0,29,41658.22,Married,Female,No,12.06193,0,23.9038,137.4836,2593.650846,0,1,0,0
2638,Suburban,0,88,35311.08,Divorced,Male,No,11.88241,1,1.73409,184.9647,428.5644943,1,0,1,0
2639,Urban,2,18,9961.23,Separated,Male,No,16.08459,2,17.45182,124.9781,1759.464436,2,3,1,0
2640,Rural,0,82,43867.04,Never Married,Nonbinary,Yes,9.438856,0,3.82548,222.6143,1134.14173,0,2,2,1
2641,Suburban,4,88,6742.39,Widowed,Male,No,10.33351,0,10.00949,139.9816,1236.291583,1,4,1,0
2642,Suburban,4,63,39377.62,Married,Male,No,8.983351,1,15.81095,142.5007,2126.056803,1,1,1,0
2643,Suburban,4,43,77380.28,Divorced,Female,Yes,10.7808,0,4.310974,240.1149,1024.131285,1,0,0,1
2644,Suburban,0,86,40628.46,Separated,Female,Yes,12.11645,0,1.200106,164.9889,336.3711095,1,3,0,1
2645,Suburban,5,23,29680.81,Divorced,Female,Yes,8.997143,0,1.99818,194.9768,758.9886777,1,0,0,1
2646,Rural,1,18,35023.76,Separated,Female,No,6.530306,1,16.93745,137.4686,1688.294747,0,3,0,0
2647,Urban,3,21,14527.8,Widowed,Male,Yes,9.976783,0,13.05373,220.1185,1761.265371,2,4,1,1
2648,Urban,3,45,38936.96,Married,Male,No,10.54543,1,3.533323,182.4676,793.8062657,2,1,1,0
2649,Rural,10,20,30767.83,Never Married,Female,No,11.6043,0,16.93329,179.9476,2020.896358,0,2,0,0
2650,Suburban,0,59,27832.64,Widowed,Female,No,9.824765,1,2.888303,134.9509,296.7260391,1,4,0,0
2651,Urban,3,54,44711.74,Widowed,Female,Yes,11.79632,0,6.307859,107.4806,862.6906733,2,4,0,1
2652,Rural,0,67,7004.93,Never Married,Female,Yes,6.914264,0,4.812563,172.4885,1003.080929,0,2,0,1
2653,Urban,10,63,18129.29,Widowed,Male,No,12.06529,0,25.10781,149.9621,2646.099689,2,4,1,0
2654,Suburban,0,46,6843.81,Separated,Female,No,11.13605,0,10.32034,162.447,1525.81124,1,3,0,0
2655,Urban,1,32,49271.78,Divorced,Male,Yes,13.31371,0,16.7433,245.147,2536.53749,2,0,1,1
2656,Urban,1,38,52374.17,Married,Female,No,12.83511,1,6.652608,252.6378,1225.184798,2,1,0,0
2657,Suburban,0,20,39603.42,Never Married,Male,Yes,10.19664,1,6.7064,159.9875,877.2126863,1,2,1,1
2658,Suburban,6,25,138555.9,Divorced,Male,Yes,13.31326,0,11.96096,142.4827,2058.120961,1,0,1,1
2659,Urban,2,71,20246.17,Married,Female,Yes,9.072518,0,7.900866,184.9853,1063.793472,2,1,0,1
2660,Rural,3,41,18373.26,Separated,Male,No,6.015014,0,4.245295,147.4421,707.2606071,0,3,1,0
2661,Rural,3,64,35087.57,Widowed,Female,No,4.641244,1,10.0496,210.138,1421.06817,0,4,0,0
2662,Rural,1,56,31246.25,Divorced,Female,No,8.943512,3,11.46674,132.4798,1715.911701,0,0,0,0
2663,Urban,6,84,4566.8,Widowed,Male,Yes,12.25739,0,4.469398,159.9942,834.0925038,2,4,1,1
2664,Rural,3,55,77277.55,Widowed,Female,No,13.77913,0,10.59491,184.9647,1272.863604,0,4,0,0
2665,Rural,9,21,33765.05,Separated,Male,Yes,7.328353,1,2.82818,182.49,1092.512913,0,3,1,1
2666,Rural,1,77,15205.14,Divorced,Female,Yes,15.12772,0,6.71156,255.1665,1200.461726,0,0,0,1
2667,Suburban,1,38,32982.82,Widowed,Female,No,14.32552,0,5.25157,127.4421,1069.18746,1,4,0,0
2668,Suburban,3,40,13139.33,Married,Male,No,9.181711,0,16.4299,179.9794,1800.326325,1,1,1,0
2669,Urban,1,58,48293.12,Never Married,Male,Yes,11.58885,0,7.896371,202.65,1725.323883,2,2,1,1
